record_id,region,all_regions,category,yaw,pitch,roll,geom,label,render_needed,roll0_reuse_source,source_seed
R4_bright_robust__yaw145_pitch+015,R4_bright_robust,R4_bright_robust,bright/robust-easy,145,15,-60,phase63(L1-G1),yaw145_pitch+015_roll-060,YES,20_pack (new render),bright/robust-easy-seed yaw145/150 pitch+10/+15
R4_bright_robust__yaw145_pitch+015,R4_bright_robust,R4_bright_robust,bright/robust-easy,145,15,-45,phase63(L1-G1),yaw145_pitch+015_roll-045,YES,20_pack (new render),bright/robust-easy-seed yaw145/150 pitch+10/+15
R4_bright_robust__yaw145_pitch+015,R4_bright_robust,R4_bright_robust,bright/robust-easy,145,15,-30,phase63(L1-G1),yaw145_pitch+015_roll-030,YES,20_pack (new render),bright/robust-easy-seed yaw145/150 pitch+10/+15
R4_bright_robust__yaw145_pitch+015,R4_bright_robust,R4_bright_robust,bright/robust-easy,145,15,-15,phase63(L1-G1),yaw145_pitch+015_roll-015,YES,20_pack (new render),bright/robust-easy-seed yaw145/150 pitch+10/+15
R4_bright_robust__yaw145_pitch+015,R4_bright_robust,R4_bright_robust,bright/robust-easy,145,15,0,phase63(L1-G1),yaw145_pitch+015_roll+000,NO,"01_fullrun (roll+000, 复用不重渲)",bright/robust-easy-seed yaw145/150 pitch+10/+15
R4_bright_robust__yaw145_pitch+015,R4_bright_robust,R4_bright_robust,bright/robust-easy,145,15,15,phase63(L1-G1),yaw145_pitch+015_roll+015,YES,20_pack (new render),bright/robust-easy-seed yaw145/150 pitch+10/+15
R4_bright_robust__yaw145_pitch+015,R4_bright_robust,R4_bright_robust,bright/robust-easy,145,15,30,phase63(L1-G1),yaw145_pitch+015_roll+030,YES,20_pack (new render),bright/robust-easy-seed yaw145/150 pitch+10/+15
R4_bright_robust__yaw145_pitch+015,R4_bright_robust,R4_bright_robust,bright/robust-easy,145,15,45,phase63(L1-G1),yaw145_pitch+015_roll+045,YES,20_pack (new render),bright/robust-easy-seed yaw145/150 pitch+10/+15
R4_bright_robust__yaw145_pitch+015,R4_bright_robust,R4_bright_robust,bright/robust-easy,145,15,60,phase63(L1-G1),yaw145_pitch+015_roll+060,YES,20_pack (new render),bright/robust-easy-seed yaw145/150 pitch+10/+15
R4_bright_robust__yaw145_pitch+020,R4_bright_robust,R4_bright_robust,bright/robust-easy,145,20,-60,phase63(L1-G1),yaw145_pitch+020_roll-060,YES,20_pack (new render),bright/robust-easy-seed yaw145/150 pitch+10/+15
R4_bright_robust__yaw145_pitch+020,R4_bright_robust,R4_bright_robust,bright/robust-easy,145,20,-45,phase63(L1-G1),yaw145_pitch+020_roll-045,YES,20_pack (new render),bright/robust-easy-seed yaw145/150 pitch+10/+15
R4_bright_robust__yaw145_pitch+020,R4_bright_robust,R4_bright_robust,bright/robust-easy,145,20,-30,phase63(L1-G1),yaw145_pitch+020_roll-030,YES,20_pack (new render),bright/robust-easy-seed yaw145/150 pitch+10/+15
R4_bright_robust__yaw145_pitch+020,R4_bright_robust,R4_bright_robust,bright/robust-easy,145,20,-15,phase63(L1-G1),yaw145_pitch+020_roll-015,YES,20_pack (new render),bright/robust-easy-seed yaw145/150 pitch+10/+15
R4_bright_robust__yaw145_pitch+020,R4_bright_robust,R4_bright_robust,bright/robust-easy,145,20,0,phase63(L1-G1),yaw145_pitch+020_roll+000,NO,"01_fullrun (roll+000, 复用不重渲)",bright/robust-easy-seed yaw145/150 pitch+10/+15
R4_bright_robust__yaw145_pitch+020,R4_bright_robust,R4_bright_robust,bright/robust-easy,145,20,15,phase63(L1-G1),yaw145_pitch+020_roll+015,YES,20_pack (new render),bright/robust-easy-seed yaw145/150 pitch+10/+15
R4_bright_robust__yaw145_pitch+020,R4_bright_robust,R4_bright_robust,bright/robust-easy,145,20,30,phase63(L1-G1),yaw145_pitch+020_roll+030,YES,20_pack (new render),bright/robust-easy-seed yaw145/150 pitch+10/+15
R4_bright_robust__yaw145_pitch+020,R4_bright_robust,R4_bright_robust,bright/robust-easy,145,20,45,phase63(L1-G1),yaw145_pitch+020_roll+045,YES,20_pack (new render),bright/robust-easy-seed yaw145/150 pitch+10/+15
R4_bright_robust__yaw145_pitch+020,R4_bright_robust,R4_bright_robust,bright/robust-easy,145,20,60,phase63(L1-G1),yaw145_pitch+020_roll+060,YES,20_pack (new render),bright/robust-easy-seed yaw145/150 pitch+10/+15
R4_bright_robust__yaw145_pitch+025,R4_bright_robust,R4_bright_robust,bright/robust-easy,145,25,-60,phase63(L1-G1),yaw145_pitch+025_roll-060,YES,20_pack (new render),bright/robust-easy-seed yaw145/150 pitch+10/+15
R4_bright_robust__yaw145_pitch+025,R4_bright_robust,R4_bright_robust,bright/robust-easy,145,25,-45,phase63(L1-G1),yaw145_pitch+025_roll-045,YES,20_pack (new render),bright/robust-easy-seed yaw145/150 pitch+10/+15
R4_bright_robust__yaw145_pitch+025,R4_bright_robust,R4_bright_robust,bright/robust-easy,145,25,-30,phase63(L1-G1),yaw145_pitch+025_roll-030,YES,20_pack (new render),bright/robust-easy-seed yaw145/150 pitch+10/+15
R4_bright_robust__yaw145_pitch+025,R4_bright_robust,R4_bright_robust,bright/robust-easy,145,25,-15,phase63(L1-G1),yaw145_pitch+025_roll-015,YES,20_pack (new render),bright/robust-easy-seed yaw145/150 pitch+10/+15
R4_bright_robust__yaw145_pitch+025,R4_bright_robust,R4_bright_robust,bright/robust-easy,145,25,0,phase63(L1-G1),yaw145_pitch+025_roll+000,NO,"01_fullrun (roll+000, 复用不重渲)",bright/robust-easy-seed yaw145/150 pitch+10/+15
R4_bright_robust__yaw145_pitch+025,R4_bright_robust,R4_bright_robust,bright/robust-easy,145,25,15,phase63(L1-G1),yaw145_pitch+025_roll+015,YES,20_pack (new render),bright/robust-easy-seed yaw145/150 pitch+10/+15
R4_bright_robust__yaw145_pitch+025,R4_bright_robust,R4_bright_robust,bright/robust-easy,145,25,30,phase63(L1-G1),yaw145_pitch+025_roll+030,YES,20_pack (new render),bright/robust-easy-seed yaw145/150 pitch+10/+15
R4_bright_robust__yaw145_pitch+025,R4_bright_robust,R4_bright_robust,bright/robust-easy,145,25,45,phase63(L1-G1),yaw145_pitch+025_roll+045,YES,20_pack (new render),bright/robust-easy-seed yaw145/150 pitch+10/+15
R4_bright_robust__yaw145_pitch+025,R4_bright_robust,R4_bright_robust,bright/robust-easy,145,25,60,phase63(L1-G1),yaw145_pitch+025_roll+060,YES,20_pack (new render),bright/robust-easy-seed yaw145/150 pitch+10/+15
R4_bright_robust__yaw150_pitch+005,R4_bright_robust,R4_bright_robust,bright/robust-easy,150,5,-60,phase63(L1-G1),yaw150_pitch+005_roll-060,YES,20_pack (new render),bright/robust-easy-seed yaw145/150 pitch+10/+15
R4_bright_robust__yaw150_pitch+005,R4_bright_robust,R4_bright_robust,bright/robust-easy,150,5,-45,phase63(L1-G1),yaw150_pitch+005_roll-045,YES,20_pack (new render),bright/robust-easy-seed yaw145/150 pitch+10/+15
R4_bright_robust__yaw150_pitch+005,R4_bright_robust,R4_bright_robust,bright/robust-easy,150,5,-30,phase63(L1-G1),yaw150_pitch+005_roll-030,YES,20_pack (new render),bright/robust-easy-seed yaw145/150 pitch+10/+15
R4_bright_robust__yaw150_pitch+005,R4_bright_robust,R4_bright_robust,bright/robust-easy,150,5,-15,phase63(L1-G1),yaw150_pitch+005_roll-015,YES,20_pack (new render),bright/robust-easy-seed yaw145/150 pitch+10/+15
R4_bright_robust__yaw150_pitch+005,R4_bright_robust,R4_bright_robust,bright/robust-easy,150,5,0,phase63(L1-G1),yaw150_pitch+005_roll+000,NO,"01_fullrun (roll+000, 复用不重渲)",bright/robust-easy-seed yaw145/150 pitch+10/+15
R4_bright_robust__yaw150_pitch+005,R4_bright_robust,R4_bright_robust,bright/robust-easy,150,5,15,phase63(L1-G1),yaw150_pitch+005_roll+015,YES,20_pack (new render),bright/robust-easy-seed yaw145/150 pitch+10/+15
R4_bright_robust__yaw150_pitch+005,R4_bright_robust,R4_bright_robust,bright/robust-easy,150,5,30,phase63(L1-G1),yaw150_pitch+005_roll+030,YES,20_pack (new render),bright/robust-easy-seed yaw145/150 pitch+10/+15
R4_bright_robust__yaw150_pitch+005,R4_bright_robust,R4_bright_robust,bright/robust-easy,150,5,45,phase63(L1-G1),yaw150_pitch+005_roll+045,YES,20_pack (new render),bright/robust-easy-seed yaw145/150 pitch+10/+15
R4_bright_robust__yaw150_pitch+005,R4_bright_robust,R4_bright_robust,bright/robust-easy,150,5,60,phase63(L1-G1),yaw150_pitch+005_roll+060,YES,20_pack (new render),bright/robust-easy-seed yaw145/150 pitch+10/+15
R4_bright_robust__yaw150_pitch+010,R4_bright_robust,R4_bright_robust,bright/robust-easy,150,10,-60,phase63(L1-G1),yaw150_pitch+010_roll-060,YES,20_pack (new render),bright/robust-easy-seed yaw145/150 pitch+10/+15
R4_bright_robust__yaw150_pitch+010,R4_bright_robust,R4_bright_robust,bright/robust-easy,150,10,-45,phase63(L1-G1),yaw150_pitch+010_roll-045,YES,20_pack (new render),bright/robust-easy-seed yaw145/150 pitch+10/+15
R4_bright_robust__yaw150_pitch+010,R4_bright_robust,R4_bright_robust,bright/robust-easy,150,10,-30,phase63(L1-G1),yaw150_pitch+010_roll-030,YES,20_pack (new render),bright/robust-easy-seed yaw145/150 pitch+10/+15
R4_bright_robust__yaw150_pitch+010,R4_bright_robust,R4_bright_robust,bright/robust-easy,150,10,-15,phase63(L1-G1),yaw150_pitch+010_roll-015,YES,20_pack (new render),bright/robust-easy-seed yaw145/150 pitch+10/+15
R4_bright_robust__yaw150_pitch+010,R4_bright_robust,R4_bright_robust,bright/robust-easy,150,10,0,phase63(L1-G1),yaw150_pitch+010_roll+000,NO,"01_fullrun (roll+000, 复用不重渲)",bright/robust-easy-seed yaw145/150 pitch+10/+15
R4_bright_robust__yaw150_pitch+010,R4_bright_robust,R4_bright_robust,bright/robust-easy,150,10,15,phase63(L1-G1),yaw150_pitch+010_roll+015,YES,20_pack (new render),bright/robust-easy-seed yaw145/150 pitch+10/+15
R4_bright_robust__yaw150_pitch+010,R4_bright_robust,R4_bright_robust,bright/robust-easy,150,10,30,phase63(L1-G1),yaw150_pitch+010_roll+030,YES,20_pack (new render),bright/robust-easy-seed yaw145/150 pitch+10/+15
R4_bright_robust__yaw150_pitch+010,R4_bright_robust,R4_bright_robust,bright/robust-easy,150,10,45,phase63(L1-G1),yaw150_pitch+010_roll+045,YES,20_pack (new render),bright/robust-easy-seed yaw145/150 pitch+10/+15
R4_bright_robust__yaw150_pitch+010,R4_bright_robust,R4_bright_robust,bright/robust-easy,150,10,60,phase63(L1-G1),yaw150_pitch+010_roll+060,YES,20_pack (new render),bright/robust-easy-seed yaw145/150 pitch+10/+15
R4_bright_robust__yaw150_pitch+015,R4_bright_robust,R4_bright_robust,bright/robust-easy,150,15,-60,phase63(L1-G1),yaw150_pitch+015_roll-060,YES,20_pack (new render),bright/robust-easy-seed yaw145/150 pitch+10/+15
R4_bright_robust__yaw150_pitch+015,R4_bright_robust,R4_bright_robust,bright/robust-easy,150,15,-45,phase63(L1-G1),yaw150_pitch+015_roll-045,YES,20_pack (new render),bright/robust-easy-seed yaw145/150 pitch+10/+15
R4_bright_robust__yaw150_pitch+015,R4_bright_robust,R4_bright_robust,bright/robust-easy,150,15,-30,phase63(L1-G1),yaw150_pitch+015_roll-030,YES,20_pack (new render),bright/robust-easy-seed yaw145/150 pitch+10/+15
R4_bright_robust__yaw150_pitch+015,R4_bright_robust,R4_bright_robust,bright/robust-easy,150,15,-15,phase63(L1-G1),yaw150_pitch+015_roll-015,YES,20_pack (new render),bright/robust-easy-seed yaw145/150 pitch+10/+15
R4_bright_robust__yaw150_pitch+015,R4_bright_robust,R4_bright_robust,bright/robust-easy,150,15,0,phase63(L1-G1),yaw150_pitch+015_roll+000,NO,"01_fullrun (roll+000, 复用不重渲)",bright/robust-easy-seed yaw145/150 pitch+10/+15
R4_bright_robust__yaw150_pitch+015,R4_bright_robust,R4_bright_robust,bright/robust-easy,150,15,15,phase63(L1-G1),yaw150_pitch+015_roll+015,YES,20_pack (new render),bright/robust-easy-seed yaw145/150 pitch+10/+15
R4_bright_robust__yaw150_pitch+015,R4_bright_robust,R4_bright_robust,bright/robust-easy,150,15,30,phase63(L1-G1),yaw150_pitch+015_roll+030,YES,20_pack (new render),bright/robust-easy-seed yaw145/150 pitch+10/+15
R4_bright_robust__yaw150_pitch+015,R4_bright_robust,R4_bright_robust,bright/robust-easy,150,15,45,phase63(L1-G1),yaw150_pitch+015_roll+045,YES,20_pack (new render),bright/robust-easy-seed yaw145/150 pitch+10/+15
R4_bright_robust__yaw150_pitch+015,R4_bright_robust,R4_bright_robust,bright/robust-easy,150,15,60,phase63(L1-G1),yaw150_pitch+015_roll+060,YES,20_pack (new render),bright/robust-easy-seed yaw145/150 pitch+10/+15
R4_bright_robust__yaw150_pitch+020,R4_bright_robust,R4_bright_robust,bright/robust-easy,150,20,-60,phase63(L1-G1),yaw150_pitch+020_roll-060,YES,20_pack (new render),bright/robust-easy-seed yaw145/150 pitch+10/+15
R4_bright_robust__yaw150_pitch+020,R4_bright_robust,R4_bright_robust,bright/robust-easy,150,20,-45,phase63(L1-G1),yaw150_pitch+020_roll-045,YES,20_pack (new render),bright/robust-easy-seed yaw145/150 pitch+10/+15
R4_bright_robust__yaw150_pitch+020,R4_bright_robust,R4_bright_robust,bright/robust-easy,150,20,-30,phase63(L1-G1),yaw150_pitch+020_roll-030,YES,20_pack (new render),bright/robust-easy-seed yaw145/150 pitch+10/+15
R4_bright_robust__yaw150_pitch+020,R4_bright_robust,R4_bright_robust,bright/robust-easy,150,20,-15,phase63(L1-G1),yaw150_pitch+020_roll-015,YES,20_pack (new render),bright/robust-easy-seed yaw145/150 pitch+10/+15
R4_bright_robust__yaw150_pitch+020,R4_bright_robust,R4_bright_robust,bright/robust-easy,150,20,0,phase63(L1-G1),yaw150_pitch+020_roll+000,NO,"01_fullrun (roll+000, 复用不重渲)",bright/robust-easy-seed yaw145/150 pitch+10/+15
R4_bright_robust__yaw150_pitch+020,R4_bright_robust,R4_bright_robust,bright/robust-easy,150,20,15,phase63(L1-G1),yaw150_pitch+020_roll+015,YES,20_pack (new render),bright/robust-easy-seed yaw145/150 pitch+10/+15
R4_bright_robust__yaw150_pitch+020,R4_bright_robust,R4_bright_robust,bright/robust-easy,150,20,30,phase63(L1-G1),yaw150_pitch+020_roll+030,YES,20_pack (new render),bright/robust-easy-seed yaw145/150 pitch+10/+15
R4_bright_robust__yaw150_pitch+020,R4_bright_robust,R4_bright_robust,bright/robust-easy,150,20,45,phase63(L1-G1),yaw150_pitch+020_roll+045,YES,20_pack (new render),bright/robust-easy-seed yaw145/150 pitch+10/+15
R4_bright_robust__yaw150_pitch+020,R4_bright_robust,R4_bright_robust,bright/robust-easy,150,20,60,phase63(L1-G1),yaw150_pitch+020_roll+060,YES,20_pack (new render),bright/robust-easy-seed yaw145/150 pitch+10/+15
R4_bright_robust__yaw150_pitch+025,R4_bright_robust,R4_bright_robust,bright/robust-easy,150,25,-60,phase63(L1-G1),yaw150_pitch+025_roll-060,YES,20_pack (new render),bright/robust-easy-seed yaw145/150 pitch+10/+15
R4_bright_robust__yaw150_pitch+025,R4_bright_robust,R4_bright_robust,bright/robust-easy,150,25,-45,phase63(L1-G1),yaw150_pitch+025_roll-045,YES,20_pack (new render),bright/robust-easy-seed yaw145/150 pitch+10/+15
R4_bright_robust__yaw150_pitch+025,R4_bright_robust,R4_bright_robust,bright/robust-easy,150,25,-30,phase63(L1-G1),yaw150_pitch+025_roll-030,YES,20_pack (new render),bright/robust-easy-seed yaw145/150 pitch+10/+15
R4_bright_robust__yaw150_pitch+025,R4_bright_robust,R4_bright_robust,bright/robust-easy,150,25,-15,phase63(L1-G1),yaw150_pitch+025_roll-015,YES,20_pack (new render),bright/robust-easy-seed yaw145/150 pitch+10/+15
R4_bright_robust__yaw150_pitch+025,R4_bright_robust,R4_bright_robust,bright/robust-easy,150,25,0,phase63(L1-G1),yaw150_pitch+025_roll+000,NO,"01_fullrun (roll+000, 复用不重渲)",bright/robust-easy-seed yaw145/150 pitch+10/+15
